title; artist; popularity
Flashing Lights; Kanye West; 91
Bohemian Rhapsody - Remastered 2011; Queen; 99
Stairway to Heaven - Remaster; Led Zeppelin; 76
Imagine - Remastered 2010; John Lennon; 73
Smells Like Teen Spirit; Nirvana; 99
Hotel California - 2013 Remaster; Eagles; 55
Billie Jean; Michael Jackson; 83
Like a Rolling Stone; Bob Dylan; 81
Hey Jude; The Beatles; 92
Respect; Aretha Franklin; 37
What's Going On; Marvin Gaye; 68
(I Can't Get No) Satisfaction - Mono; The Rolling Stones; 66
Good Vibrations - Remastered 2001; The Beach Boys; 81
Johnny B. Goode; Chuck Berry; 65
Yesterday - Remastered 2009; The Beatles; 89
Let It Be - Remastered 2009; The Beatles; 89
Superstition - Single Version; Stevie Wonder; 48
Purple Haze; Jimi Hendrix; 83
A Day In The Life - Remastered 2009; The Beatles; 88
Suspicious Minds; Elvis Presley; 86
My Generation - Stereo Version; The Who; 81
I Heard It Through The Grapevine; Marvin Gaye; 71
Blowin' in the Wind; Bob Dylan; 69
Born to Run; Bruce Springsteen; 86
Light My Fire; The Doors; 85
God Only Knows; The Beach Boys; 68
Bridge Over Troubled Water; Simon & Garfunkel; 84
Every Breath You Take; The Police; 97
Hallelujah; Jeff Buckley; 91
London Calling - Remastered; The Clash; 76
Hound Dog; Elvis Presley; 83
Let's Stay Together; Al Green; 66
Sweet Child O' Mine; Guns N' Roses; 81
Thunder Road; Bruce Springsteen; 63
Waterloo Sunset; The Kinks; 80
Heroes - 2017 Remaster; David Bowie; 48
I Will Always Love You; Whitney Houston; 96
All Along the Watchtower; Jimi Hendrix; 60
Dancing Queen; ABBA; 96
I Walk the Line; Johnny Cash; 80
Sympathy For The Devil - 50th Anniversary Edition; The Rolling Stones; 49
Gimme Shelter; The Rolling Stones; 86
Wonderwall - Remastered; Oasis; 95
Losing My Religion; R.E.M.; 81
Under the Bridge; Red Hot Chili Peppers; 93
Creep; Radiohead; 100
No Woman No Cry; Bob Marley & The Wailers; 64
In My Life - Remastered 2009; The Beatles; 81
Stand By Me; Ben E. King; 85
Papa's Got A Brand New Bag (Part 1) - Single Version; James Brown; 42
A Change Is Gonna Come; Sam Cooke; 86
Tutti Frutti; Little Richard; 73
Tangled up in Blue; Bob Dylan; 82
Heartbreak Hotel; Elvis Presley; 74
When Doves Cry; Prince; 87
Family Affair - Single Version; Sly & The Family Stone; 40
Whole Lotta Love - 1990 Remaster; Led Zeppelin; 52
California Gurls; Katy Perry; 93
Rolling in the Deep; Adele; 100
Someone Like You; Adele; 98
Shape of You; Ed Sheeran; 100
Uptown Funk (feat. Bruno Mars); Mark Ronson; 99
Blinding Lights; The Weeknd; 96
Dance Monkey; Tones And I; 96
Perfect; Ed Sheeran; 100
Thinking out Loud; Ed Sheeran; 99
Despacito; Luis Fonsi; 100
Closer; The Chainsmokers; 77
Sunflower - Spider-Man: Into the Spider-Verse; Post Malone; 59
Señorita; Shawn Mendes; 97
bad guy; Billie Eilish; 97
Havana (feat. Young Thug); Camila Cabello; 93
Levitating (feat. DaBaby); Dua Lipa; 95
As It Was; Harry Styles; 96
STAY (with Justin Bieber); The Kid LAROI; 89
Watermelon Sugar; Harry Styles; 77
Peaches (feat. Daniel Caesar & Giveon); Justin Bieber; 88
good 4 u; Olivia Rodrigo; 94
drivers license; Olivia Rodrigo; 95
Don't Start Now; Dua Lipa; 43
Save Your Tears; The Weeknd; 97
rockstar (feat. 21 Savage); Post Malone; 94
God's Plan; Drake; 81
Lucid Dreams; Juice WRLD; 96
SICKO MODE; Travis Scott; 98
Old Town Road (feat. Billy Ray Cyrus) - Remix; Lil Nas X; 74
Shallow; Lady Gaga; 97
Without Me; Halsey; 95
Bad Romance; Lady Gaga; 98
Poker Face; Lady Gaga; 99
Just the Way You Are; Bruno Mars; 97
Grenade; Bruno Mars; 96
Firework; Katy Perry; 96
Teenage Dream; Katy Perry; 91
Roar; Katy Perry; 98
Dark Horse; Katy Perry; 99
Blank Space; Taylor Swift; 99
Shake It Off; Taylor Swift; 69
Love Story; Taylor Swift; 94
You Belong With Me; Taylor Swift; 96
I Knew You Were Trouble.; Taylor Swift; 89
We Are Never Ever Getting Back Together (Taylor's Version); Taylor Swift; 94
Cruel Summer; Taylor Swift; 84
Sorry; Justin Bieber; 100
Love Yourself; Justin Bieber; 98
What Do You Mean?; Justin Bieber; 90
Hello; Adele; 99
Set Fire to the Rain; Adele; 76
Skyfall; Adele; 85
Chandelier; Sia; 98
